File: main
Type: cpu
Time: 2026-01-08 18:54:42 +03
Duration: 42.74s, Total samples = 3.26s ( 7.63%)
Showing nodes accounting for 3.16s, 96.93% of 3.26s total
Dropped 49 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.67s 51.23% 51.23%      1.67s 51.23%  syscall.syscall
     0.96s 29.45% 80.67%      0.96s 29.45%  runtime.kevent
     0.08s  2.45% 83.13%      0.08s  2.45%  runtime.madvise
     0.06s  1.84% 84.97%      0.06s  1.84%  runtime.(*mspan).heapBitsSmallForAddr
     0.05s  1.53% 86.50%      0.05s  1.53%  runtime.memclrNoHeapPointers
     0.04s  1.23% 87.73%      0.04s  1.23%  runtime.memmove
     0.04s  1.23% 88.96%      0.04s  1.23%  runtime.pthread_cond_wait
     0.04s  1.23% 90.18%      0.04s  1.23%  runtime.usleep
     0.03s  0.92% 91.10%      0.03s  0.92%  internal/runtime/atomic.(*UnsafePointer).Load
     0.03s  0.92% 92.02%      0.16s  4.91%  runtime.scanobject
     0.02s  0.61% 92.64%      0.02s  0.61%  runtime.(*gcBits).bytep
     0.02s  0.61% 93.25%      0.05s  1.53%  runtime.findObject
     0.02s  0.61% 93.87%      0.02s  0.61%  runtime.mapaccess2_faststr
     0.02s  0.61% 94.48%      0.02s  0.61%  runtime.pageIndexOf
     0.02s  0.61% 95.09%      0.02s  0.61%  runtime.pthread_kill
     0.01s  0.31% 95.40%      0.14s  4.29%  github.com/wagoodman/dive/dive/filetree.(*FileNode).VisitDepthChildFirst
     0.01s  0.31% 95.71%      0.15s  4.60%  github.com/wagoodman/dive/dive/filetree.Efficiency
     0.01s  0.31% 96.01%      0.07s  2.15%  runtime.(*mspan).typePointersOfUnchecked
     0.01s  0.31% 96.32%      0.12s  3.68%  runtime.mallocgc
     0.01s  0.31% 96.63%      0.02s  0.61%  runtime.mapaccess1_faststr
     0.01s  0.31% 96.93%      0.02s  0.61%  runtime.spanOf
         0     0% 96.93%      0.16s  4.91%  archive/tar.(*Reader).Next
         0     0% 96.93%      1.67s 51.23%  archive/tar.(*Reader).Read
         0     0% 96.93%      0.16s  4.91%  archive/tar.(*Reader).next
         0     0% 96.93%      0.12s  3.68%  archive/tar.(*Reader).readHeader
