File: main
Type: cpu
Time: 2026-01-09 09:00:21 +03
Duration: 58.87s, Total samples = 3.67s ( 6.23%)
Showing nodes accounting for 3.55s, 96.73% of 3.67s total
Dropped 43 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.84s 50.14% 50.14%      1.85s 50.41%  syscall.syscall
     1.32s 35.97% 86.10%      1.32s 35.97%  runtime.kevent
     0.12s  3.27% 89.37%      0.12s  3.27%  runtime.madvise
     0.06s  1.63% 91.01%      0.06s  1.63%  runtime.(*mspan).heapBitsSmallForAddr
     0.03s  0.82% 91.83%      0.03s  0.82%  runtime.memclrNoHeapPointers
     0.03s  0.82% 92.64%      0.03s  0.82%  runtime.pthread_kill
     0.02s  0.54% 93.19%      0.02s  0.54%  bytes.indexFunc
     0.02s  0.54% 93.73%      0.02s  0.54%  github.com/cespare/xxhash/v2.writeBlocks
     0.02s  0.54% 94.28%      0.02s  0.54%  runtime.casgstatus
     0.02s  0.54% 94.82%      0.02s  0.54%  runtime.memmove
     0.02s  0.54% 95.37%      0.02s  0.54%  runtime.pthread_cond_wait
     0.01s  0.27% 95.64%      0.02s  0.54%  github.com/wagoodman/dive/dive/filetree.(*FileNode).Path
     0.01s  0.27% 95.91%      1.98s 53.95%  github.com/wagoodman/dive/dive/image/docker.iterateTar
     0.01s  0.27% 96.19%      1.86s 50.68%  net.(*netFD).Read
     0.01s  0.27% 96.46%      0.02s  0.54%  runtime.greyobject
     0.01s  0.27% 96.73%      0.12s  3.27%  runtime.scanobject
         0     0% 96.73%      0.07s  1.91%  archive/tar.(*Reader).Next
         0     0% 96.73%      1.86s 50.68%  archive/tar.(*Reader).Read
         0     0% 96.73%      0.07s  1.91%  archive/tar.(*Reader).next
         0     0% 96.73%      0.06s  1.63%  archive/tar.(*Reader).readHeader
         0     0% 96.73%      1.86s 50.68%  archive/tar.(*regFileReader).Read
         0     0% 96.73%      1.86s 50.68%  bufio.(*Reader).Read
         0     0% 96.73%      0.02s  0.54%  bufio.(*Reader).ReadSlice
         0     0% 96.73%      0.02s  0.54%  bufio.(*Reader).fill
         0     0% 96.73%      0.02s  0.54%  bytes.IndexFunc
         0     0% 96.73%      2.04s 55.59%  github.com/anchore/clio.(*application).WrapRunE.func1.1
         0     0% 96.73%      2.04s 55.59%  github.com/anchore/clio.async.func1
         0     0% 96.73%      0.02s  0.54%  github.com/cespare/xxhash/v2.(*Digest).Write
         0     0% 96.73%      2.04s 55.59%  github.com/wagoodman/dive/cmd/dive/cli/internal/command.Root.func2
         0     0% 96.73%      0.05s  1.36%  github.com/wagoodman/dive/cmd/dive/cli/internal/command.run
         0     0% 96.73%      0.05s  1.36%  github.com/wagoodman/dive/cmd/dive/cli/internal/command/adapter.analysisActionObserver.Analyze
         0     0% 96.73%      1.99s 54.22%  github.com/wagoodman/dive/cmd/dive/cli/internal/command/adapter.imageActionObserver.Fetch
         0     0% 96.73%      0.04s  1.09%  github.com/wagoodman/dive/dive/filetree.(*FileNode).AddChild
         0     0% 96.73%      0.05s  1.36%  github.com/wagoodman/dive/dive/filetree.(*FileNode).VisitDepthChildFirst
         0     0% 96.73%      0.05s  1.36%  github.com/wagoodman/dive/dive/filetree.(*FileTree).AddPath
         0     0% 96.73%      0.05s  1.36%  github.com/wagoodman/dive/dive/filetree.(*FileTree).VisitDepthChildFirst
