File: main
Type: goroutine
Time: 2026-01-09 09:01:20 +03
Showing nodes accounting for 4, 100% of 4 total
      flat  flat%   sum%        cum   cum%
         2 50.00% 50.00%          2 50.00%  runtime.gopark
         1 25.00% 75.00%          1 25.00%  runtime.goroutineProfileWithLabels
         1 25.00%   100%          1 25.00%  runtime.sigNoteSleep
         0     0%   100%          1 25.00%  github.com/anchore/clio.(*application).Run.func3
         0     0%   100%          1 25.00%  main.main
         0     0%   100%          1 25.00%  os/signal.loop
         0     0%   100%          1 25.00%  os/signal.signal_recv
         0     0%   100%          1 25.00%  runtime.chanrecv
         0     0%   100%          1 25.00%  runtime.chanrecv1
         0     0%   100%          1 25.00%  runtime.main
         0     0%   100%          1 25.00%  runtime.pprof_goroutineProfileWithLabels
         0     0%   100%          1 25.00%  runtime/pprof.(*Profile).WriteTo
         0     0%   100%          1 25.00%  runtime/pprof.profileWriter
         0     0%   100%          1 25.00%  runtime/pprof.writeGoroutine
         0     0%   100%          1 25.00%  runtime/pprof.writeRuntimeProfile
         0     0%   100%          1 25.00%  time.Sleep
