File: main
Type: inuse_space
Time: 2026-01-09 09:01:20 +03
Showing nodes accounting for 41178.41kB, 100% of 41178.41kB total
      flat  flat%   sum%        cum   cum%
13825.90kB 33.58% 33.58% 13825.90kB 33.58%  github.com/wagoodman/dive/dive/filetree.NewNode
 7214.10kB 17.52% 51.09%    21040kB 51.09%  github.com/wagoodman/dive/dive/filetree.(*FileNode).AddChild
 6144.81kB 14.92% 66.02% 12289.34kB 29.84%  archive/tar.(*Reader).readHeader
 6144.52kB 14.92% 80.94%  6144.52kB 14.92%  archive/tar.(*parser).parseString
    4104kB  9.97% 90.91%     4104kB  9.97%  runtime.allocm
 1184.27kB  2.88% 93.78%  1184.27kB  2.88%  runtime/pprof.StartCPUProfile
  512.69kB  1.25% 95.03%   512.69kB  1.25%  regexp/syntax.(*compiler).inst
  512.05kB  1.24% 96.27%   512.05kB  1.24%  runtime.acquireSudog
  512.03kB  1.24% 97.51%   512.03kB  1.24%  reflect.(*rtype).ptrTo
  512.02kB  1.24% 98.76%   512.02kB  1.24%  github.com/awesome-gocui/keybinding.ParseAll
  512.01kB  1.24%   100%   512.01kB  1.24%  encoding/json.typeFields
         0     0%   100% 12289.34kB 29.84%  archive/tar.(*Reader).Next
         0     0%   100% 12289.34kB 29.84%  archive/tar.(*Reader).next
         0     0%   100%   512.01kB  1.24%  encoding/json.(*Decoder).Decode
         0     0%   100%   512.01kB  1.24%  encoding/json.(*decodeState).object
         0     0%   100%   512.01kB  1.24%  encoding/json.(*decodeState).unmarshal
         0     0%   100%   512.01kB  1.24%  encoding/json.(*decodeState).value
         0     0%   100%   512.01kB  1.24%  encoding/json.cachedTypeFields
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/clio.(*application).Run
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/clio.(*application).Setup.func1
         0     0%   100% 33841.34kB 82.18%  github.com/anchore/clio.(*application).WrapRunE.func1.1
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/clio.(*application).loadConfigs
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/clio.(*application).setupCommand.func1
         0     0%   100% 33841.34kB 82.18%  github.com/anchore/clio.async.func1
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/fangs.Load
         0     0%   100%   512.03kB  1.24%  github.com/anchore/fangs.configureViper
         0     0%   100%  1024.05kB  2.49%  github.com/anchore/fangs.loadConfig
         0     0%   100%   512.02kB  1.24%  github.com/anchore/fangs.postLoad
         0     0%   100%   512.02kB  1.24%  github.com/anchore/fangs.postLoadStruct
         0     0%   100%   512.01kB  1.24%  github.com/docker/cli/cli/config.Load
         0     0%   100%   512.01kB  1.24%  github.com/docker/cli/cli/config.load
         0     0%   100%   512.01kB  1.24%  github.com/docker/cli/cli/config/configfile.(*ConfigFile).LoadFromReader
         0     0%   100%   512.69kB  1.25%  github.com/google/pprof/profile.init
         0     0%   100%  1024.05kB  2.49%  github.com/spf13/cobra.(*Command).Execute
         0     0%   100%  1024.05kB  2.49%  github.com/spf13/cobra.(*Command).ExecuteC
         0     0%   100%  1024.05kB  2.49%  github.com/spf13/cobra.(*Command).execute
         0     0%   100% 33841.34kB 82.18%  github.com/wagoodman/dive/cmd/dive/cli/internal/command.Root.func2
